gene_id	transcript_id(s)	T1_R1	T1_R10	T1_R2	T1_R3	T1_R4	T1_R5	T1_R6	T1_R7	T1_R8	T1_R9
ENSOARG00020000002	ENSOART00020000002	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020000003	ENSOART00020000003	873.00	2561.00	711.00	3329.00	793.00	921.00	4509.00	1588.00	2893.00	1918.00
ENSOARG00020000004	ENSOART00020000004	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020000005	ENSOART00020000005	17894.00	33032.00	14784.00	27112.00	12681.00	13989.00	30476.00	26358.00	33449.00	19720.00
ENSOARG00020000006	ENSOART00020000006	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020000007	ENSOART00020000007	110870.00	96406.00	127665.00	112821.00	104738.00	124196.00	128288.00	158651.00	179988.00	98247.00
ENSOARG00020000008	ENSOART00020000008	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020000009	ENSOART00020000009	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020000010	ENSOART00020000010	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020000011	ENSOART00020000011	134584.00	102954.00	132025.00	135881.00	115153.00	126054.00	139262.00	193377.00	189007.00	91798.00
ENSOARG00020000012	ENSOART00020000012	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020000013	ENSOART00020000013	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020000014	ENSOART00020000014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020000015	ENSOART00020000015	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020000016	ENSOART00020000016	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020000017	ENSOART00020000017	619892.00	508749.00	462880.00	485344.00	384750.00	526937.00	692903.00	440754.00	1239297.00	458979.00
ENSOARG00020000018	ENSOART00020000018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020000019	ENSOART00020000019	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020000020	ENSOART00020000020	120048.00	139317.00	84581.00	86746.00	70656.00	97066.00	183302.00	91512.00	256675.00	133737.00
ENSOARG00020000021	ENSOART00020000021	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020000022	ENSOART00020000022	57868.33	54673.19	41920.03	40577.94	37209.15	46387.79	92769.08	41898.63	88296.05	90673.40
ENSOARG00020000023	ENSOART00020000023	269585.00	306286.00	225864.00	204400.00	183880.00	261786.00	459593.00	223579.00	522255.00	427540.00
ENSOARG00020000024	ENSOART00020000024	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020000025	ENSOART00020000025	15908.00	14415.00	20902.00	16155.00	18834.00	20407.00	28443.00	25738.00	28616.00	32254.00
ENSOARG00020000026	ENSOART00020000026	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
